model,scenario,variable,filename,version,year,path
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1970.nc,1,1970,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1970.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1971.nc,1,1971,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1971.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1972.nc,1,1972,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1972.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1973.nc,1,1973,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1973.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1974.nc,1,1974,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1974.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1975.nc,1,1975,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1975.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1976.nc,1,1976,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1976.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1977.nc,1,1977,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1977.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1978.nc,1,1978,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1978.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1979.nc,1,1979,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1979.nc
